history

BOARDID;SECID;TRADEDATE;SHORTNAME;NAME;CLOSE;OPEN;HIGH;LOW;VALUE;DURATION;YIELD;DECIMALS;CAPITALIZATION;CURRENCYID;DIVISOR
SNDX;IMOEX;2020-10-06;Индекс МосБиржи;Индекс МосБиржи;2892,99;2885,38;2906,65;2883,69;73021330700,7;0;0;2;13914414418200;RUB;4809707787,420000
SNDX;IMOEX;2020-10-05;Индекс МосБиржи;Индекс МосБиржи;2881,98;2860,53;2882,94;2845,63;63509160152,4;0;0;2;13861472527900;RUB;4809707787,420000
SNDX;IMOEX;2020-10-02;Индекс МосБиржи;Индекс МосБиржи;2852,42;2840,72;2859,01;2824,69;78844415007,9;0;0;2;13719301604300;RUB;4809707787,420000
SNDX;IMOEX;2020-10-01;Индекс МосБиржи;Индекс МосБиржи;2889,8;2911,08;2919,25;2882,81;74033823737,9;0;0;2;13899096324200;RUB;4809707787,420000
SNDX;IMOEX;2020-09-30;Индекс МосБиржи;Индекс МосБиржи;2905,81;2908,55;2920,03;2893,8;66808053460,3;0;0;2;13976089270500;RUB;4809707787,420000
SNDX;IMOEX;2020-09-29;Индекс МосБиржи;Индекс МосБиржи;2910,12;2935,77;2947,75;2889,22;80159930228,7;0;0;2;13996817556800;RUB;4809707787,420000
SNDX;IMOEX;2020-09-28;Индекс МосБиржи;Индекс МосБиржи;2927,17;2909,62;2938,94;2909,62;69770125370,4;0;0;2;14078810348000;RUB;4809707787,420000
SNDX;IMOEX;2020-09-25;Индекс МосБиржи;Индекс МосБиржи;2896,83;2912,83;2912,83;2870,16;75662859146,4;0;0;2;13932922146500;RUB;4809707787,420000
SNDX;IMOEX;2020-09-24;Индекс МосБиржи;Индекс МосБиржи;2912,76;2905,55;2920,46;2880,39;87868199396,4;0;0;2;14009504082000;RUB;4809707787,420000
SNDX;IMOEX;2020-09-23;Индекс МосБиржи;Индекс МосБиржи;2916,39;2933,33;2968,55;2916,27;144057907966;0;0;2;14026996372700;RUB;4809707787,420000
SNDX;IMOEX;2020-09-22;Индекс МосБиржи;Индекс МосБиржи;2884,66;2874;2907,98;2868,38;72694032936,9;0;0;2;13874359877200;RUB;4809707787,420000
SNDX;IMOEX;2020-09-21;Индекс МосБиржи;Индекс МосБиржи;2863,67;2946,18;2946,18;2857,78;84915278078,2;0;0;2;13773398356900;RUB;4809707787,420000
SNDX;IMOEX;2020-09-18;Индекс МосБиржи;Индекс МосБиржи;2951,79;2976,1;2977,13;2944,22;87835262045,4;0;0;2;14197259684100;RUB;4809707787,420000
SNDX;IMOEX;2020-09-17;Индекс МосБиржи;Индекс МосБиржи;2971,74;2947,54;2974,54;2945,78;85774277598,2;0;0;2;12653186368100;RUB;4257839328,870000
SNDX;IMOEX;2020-09-16;Индекс МосБиржи;Индекс МосБиржи;2975,01;2982,49;2990,74;2960,68;73285008183,1;0;0;2;12667109541400;RUB;4257839328,870000
SNDX;IMOEX;2020-09-15;Индекс МосБиржи;Индекс МосБиржи;2980,58;2936,42;2982,2;2932,36;74748355784,4;0;0;2;12690837171900;RUB;4257839328,870000
SNDX;IMOEX;2020-09-14;Индекс МосБиржи;Индекс МосБиржи;2928,38;2918,29;2938,24;2918,29;62169731197,1;0;0;2;12468585748000;RUB;4257839328,870000
SNDX;IMOEX;2020-09-11;Индекс МосБиржи;Индекс МосБиржи;2910,51;2888,92;2911,71;2874,47;58206856278,1;0;0;2;12392502242000;RUB;4257839328,870000
SNDX;IMOEX;2020-09-10;Индекс МосБиржи;Индекс МосБиржи;2897,55;2888,09;2897,55;2858,65;65787625355,2;0;0;2;12337301186500;RUB;4257839328,870000
SNDX;IMOEX;2020-09-09;Индекс МосБиржи;Индекс МосБиржи;2876,07;2880,83;2899,17;2872,92;64443700494,9;0;0;2;12245856571600;RUB;4257839328,870000
SNDX;IMOEX;2020-09-08;Индекс МосБиржи;Индекс МосБиржи;2888,79;2937,18;2948,88;2875,96;82332639045,6;0;0;2;12299990406200;RUB;4257839328,870000
SNDX;IMOEX;2020-09-07;Индекс МосБиржи;Индекс МосБиржи;2932,29;2929,38;2947,17;2925,55;53483774598,9;0;0;2;12485219790100;RUB;4257839328,870000
SNDX;IMOEX;2020-09-04;Индекс МосБиржи;Индекс МосБиржи;2921,55;2920,22;2944,66;2910,39;69997849774,1;0;0;2;12439498318500;RUB;4257839328,870000
SNDX;IMOEX;2020-09-03;Индекс МосБиржи;Индекс МосБиржи;2931,92;2954,62;2967,61;2917,24;82989442207;0;0;2;12483644758900;RUB;4257839328,870000
SNDX;IMOEX;2020-09-02;Индекс МосБиржи;Индекс МосБиржи;2956,5;2989,76;3002,25;2946,29;94988586744,5;0;0;2;12588292485700;RUB;4257839328,870000
SNDX;IMOEX;2020-09-01;Индекс МосБиржи;Индекс МосБиржи;2975;2976,07;2993,28;2967,96;81890923133,6;0;0;2;12667085849300;RUB;4257839328,870000
SNDX;IMOEX;2020-08-31;Индекс МосБиржи;Индекс МосБиржи;2966,2;2993,02;3012,44;2962,06;184001931133;0;0;2;12629609973100;RUB;4257839328,870000
SNDX;IMOEX;2020-08-28;Индекс МосБиржи;Индекс МосБиржи;2980,17;3015,7;3015,7;2976,34;60139550849,6;0;0;2;12689071358400;RUB;4257839328,870000
SNDX;IMOEX;2020-08-27;Индекс МосБиржи;Индекс МосБиржи;3012,01;3051,2;3056,25;3002,1;66131754149,5;0;0;2;12824642450000;RUB;4257839328,870000
SNDX;IMOEX;2020-08-26;Индекс МосБиржи;Индекс МосБиржи;3051,97;3041,19;3053,9;3024,04;74241762707,6;0;0;2;12994786931300;RUB;4257839328,870000
SNDX;IMOEX;2020-08-25;Индекс МосБиржи;Индекс МосБиржи;3029,05;3042,58;3051,27;3020,46;57974269706,9;0;0;2;12897199949700;RUB;4257839328,870000
SNDX;IMOEX;2020-08-24;Индекс МосБиржи;Индекс МосБиржи;3029,42;3005,86;3036,63;3005,86;56090322436,7;0;0;2;12898763543400;RUB;4257839328,870000
SNDX;IMOEX;2020-08-21;Индекс МосБиржи;Индекс МосБиржи;2995,61;3013,4;3024,71;2973,11;89980771052,2;0;0;2;12754825344500;RUB;4257839328,870000
SNDX;IMOEX;2020-08-20;Индекс МосБиржи;Индекс МосБиржи;2993,69;3044,92;3044,92;2993,69;90101841898,7;0;0;2;12746668589000;RUB;4257839328,870000
SNDX;IMOEX;2020-08-19;Индекс МосБиржи;Индекс МосБиржи;3056,54;3048,22;3073,84;3041,43;55321489952,7;0;0;2;13014238750700;RUB;4257839328,870000
SNDX;IMOEX;2020-08-18;Индекс МосБиржи;Индекс МосБиржи;3050,7;3056,72;3073,85;3048,31;58562508471;0;0;2;12989401524700;RUB;4257839328,870000
SNDX;IMOEX;2020-08-17;Индекс МосБиржи;Индекс МосБиржи;3052,46;3070,81;3090,42;3041,99;82525600190,3;0;0;2;12996864104500;RUB;4257839328,870000
SNDX;IMOEX;2020-08-14;Индекс МосБиржи;Индекс МосБиржи;3061,99;3075,96;3075,96;3044,71;62096882708,5;0;0;2;13037455291300;RUB;4257839328,870000
SNDX;IMOEX;2020-08-13;Индекс МосБиржи;Индекс МосБиржи;3080,44;3057,63;3081,15;3047,74;91764463491,4;0;0;2;13116025272900;RUB;4257839328,870000
SNDX;IMOEX;2020-08-12;Индекс МосБиржи;Индекс МосБиржи;3053,99;2990,9;3053,99;2985,25;89279363513,7;0;0;2;13003402610100;RUB;4257839328,870000


